product_id,product_name,category,sub_category,brand,cost_price,selling_price
P000001,Inkline Business 0001,Books,Business,Inkline,18.12,27.08
P000002,BrightNest Cookware 0002,Home & Kitchen,Cookware,BrightNest,26.76,58.14
P000003,Kidora Dolls 0003,Toys,Dolls,Kidora,18.6,33.1
P000004,Stride Fitness 0004,Sports,Fitness,Stride,10.56,24.86
P000005,Orbit Audio 0005,Electronics,Audio,Orbit,141.73,234.12
P000006,GreenFarm Organic 0006,Grocery,Organic,GreenFarm,29.58,51.88
P000007,Inkline Fiction 0007,Books,Fiction,Inkline,7.0,16.13
P000008,Inkline Business 0008,Books,Business,Inkline,16.01,26.43
P000009,Orbit Accessories 0009,Electronics,Accessories,Orbit,17.78,25.43
P000010,CraftHaus Cookware 0010,Home & Kitchen,Cookware,CraftHaus,79.24,161.37
P000011,Kiva Storage 0011,Home & Kitchen,Storage,Kiva,37.16,69.99
P000012,DailyBite Snacks 0012,Grocery,Snacks,DailyBite,12.22,21.12
P000013,ArenaPro Outdoor 0013,Sports,Outdoor,ArenaPro,266.46,495.83
P000014,Inkline Children 0014,Books,Children,Inkline,4.45,6.92
P000015,BrightNest Furniture 0015,Home & Kitchen,Furniture,BrightNest,228.12,511.08
P000016,Luma Bags 0016,Fashion,Bags,Luma,72.01,134.78
P000017,Glowery Makeup 0017,Beauty,Makeup,Glowery,32.29,81.09
P000018,Aster Cameras 0018,Electronics,Cameras,Aster,782.03,1025.59
P000019,PageMint Fiction 0019,Books,Fiction,PageMint,12.29,19.65
P000020,Citrine Haircare 0020,Beauty,Haircare,Citrine,22.13,45.2
P000021,Inkline Fiction 0021,Books,Fiction,Inkline,16.31,25.51
P000022,BrightNest Appliances 0022,Home & Kitchen,Appliances,BrightNest,108.34,160.95
P000023,GreenFarm Organic 0023,Grocery,Organic,GreenFarm,20.81,46.46
P000024,BrightPlay STEM Toys 0024,Toys,STEM Toys,BrightPlay,34.8,81.61
P000025,BlueLeaf Fiction 0025,Books,Fiction,BlueLeaf,11.15,17.95
P000026,Luma Accessories 0026,Fashion,Accessories,Luma,16.74,38.37
P000027,Kiva Furniture 0027,Home & Kitchen,Furniture,Kiva,331.66,620.43
P000028,ZenByte Phones 0028,Electronics,Phones,ZenByte,672.36,998.26
P000029,Aster Phones 0029,Electronics,Phones,Aster,377.97,573.71
P000030,VoltFit Cycling 0030,Sports,Cycling,VoltFit,151.55,247.76
P000031,TrailPeak Fitness 0031,Sports,Fitness,TrailPeak,142.86,292.63
P000032,Freshly Pantry 0032,Grocery,Pantry,Freshly,18.81,28.21
P000033,Modeva Women Apparel 0033,Fashion,Women Apparel,Modeva,29.12,72.77
P000034,BrightNest Decor 0034,Home & Kitchen,Decor,BrightNest,40.1,81.39
P000035,Homely Cookware 0035,Home & Kitchen,Cookware,Homely,69.63,101.12
P000036,Walkway Women Apparel 0036,Fashion,Women Apparel,Walkway,39.88,104.98
P000037,Nexora Laptops 0037,Electronics,Laptops,Nexora,753.1,1027.48
P000038,Elm & Co Furniture 0038,Home & Kitchen,Furniture,Elm & Co,639.47,919.2
P000039,Luma Bags 0039,Fashion,Bags,Luma,99.13,268.37
P000040,VoltFit Outdoor 0040,Sports,Outdoor,VoltFit,114.0,198.33
P000041,Homely Decor 0041,Home & Kitchen,Decor,Homely,75.21,126.89
P000042,Kidora Board Games 0042,Toys,Board Games,Kidora,14.19,28.91
P000043,VoltFit Outdoor 0043,Sports,Outdoor,VoltFit,226.51,388.14
P000044,Walkway Footwear 0044,Fashion,Footwear,Walkway,47.42,105.33
P000045,WonderBox Outdoor Toys 0045,Toys,Outdoor Toys,WonderBox,72.96,114.67
P000046,PageMint Fiction 0046,Books,Fiction,PageMint,15.08,33.24
P000047,Elm & Co Furniture 0047,Home & Kitchen,Furniture,Elm & Co,147.17,297.88
